attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,good,good,7,25747025,0,,good,4,GGR321,"Professor Robinson is a very nice and knowledgeable professor although his courses are hard . The assignments were long and challenging and you might need to spend alot of time on it, but he was not a hard marker at all . Quizes and exam were very easy. Definitely not an easy course but very useful in real world. Dont skip any class/tutorials.",12/17/2015,4.0,4.0,,4,Really into it,4.0,4.0,1,Yes,1450370082000,N/A,4928,Yes,,A-,"[""Skip class? You won't pass."", 'Caring', 'Inspirational']",people,people
Mandatory,good,good,good,2,25732218,0,,good,4,GG372,"Unique course that people should find really useful in the real world and industry. The subject material was tedious but not extremely challenging, the assignments were long and difficult but there was usually more than a week to complete them, and the grades could easily be made up with the easy quizzes and final exam.",12/16/2015,4.0,4.0,,4,Really into it,4.0,4.0,1,Yes,1450297247000,N/A,4928,Yes,,A-,"['Get ready to read', 'So many papers', 'Lots of homework']",people,people
N/A,poor,good,poor,0,22548364,1,online,awful,1,GGR372,"Very unrealistic expectations. Will never post lectures online and does not teach students how to use the applications needed for assignments. Will totally make you fall asleep during lecture. Knowledgeable but too smart for his own good, will make you feel dumb for asking questions. Very Difficult marker and difficult course. AVOID if you are GIS.",12/13/2013,5.0,5.0,,1,Low,1.0,1.0,1,Yes,1386978509000,N/A,4928,Yes,,N/A,[],person,people
N/A,average,good,good,1,22165865,0,,good,3,GGR321,"Although his courses are difficult, so is the subject manner. He is very accommodating and helpful. Professor Robinson is extremely knowledgeable",10/09/2013,5.0,5.0,,5,It's my life,4.0,4.0,1,No,1381292000000,N/A,4928,N/A,,N/A,[],people,person
N/A,poor,good,poor,0,21955685,1,,awful,1,GGR209,Never posts lectures on blackboard. Extremely smug. Lectures are too detailed to copy down. Make sure you study both the notes and the textbook. PLEASE don't take his courses unless it is required. Took two of his courses and both were disasters.,07/09/2013,5.0,5.0,,1,Sorta interested,1.0,1.0,1,Yes,1373382043000,N/A,4928,N/A,,N/A,[],person,people
N/A,average,average,average,1,21584012,0,,average,3,GGR209,"The course content is boring but he is a nice and clear prof. The tests were very fair and if you studied book and reviewed slides, you would get a good mark. MC can be tricky. Overall a good prof.",04/23/2013,3.0,3.0,,3,Sorta interested,3.0,3.0,1,Yes,1366705241000,N/A,4928,N/A,,N/A,[],people,person
N/A,average,good,poor,0,21565282,1,,poor,2,GGR209,"The worst professor I've ever been lectured by in UTM. I usually get 80s but his GGR209(Economic Geography) course destroyed me. Extremely smug, as the others have mentioned. Really boring, monotone, goes off topic a lot. Not helpful at all during his office hours or in his email feedback.",04/19/2013,4.0,4.0,,1,Really into it,1.5,1.5,1,Yes,1366369386000,N/A,4928,N/A,,N/A,[],person,people
N/A,poor,good,poor,0,21542174,1,,awful,1,GGR209,"He is just horrible. Cannot stand going to his classes, im sure he realized that everyone hated going to his class that's why he stopped posting his lecture slides.. he's dull, boring unbelievably smug and unhelpful.. makes you feel stupid for not knowing something.. He expects everyone to study nothing but his course.. ridiculous",04/16/2013,5.0,5.0,,1,Really into it,1.0,1.0,1,Yes,1366079300000,N/A,4928,N/A,,N/A,[],person,people
N/A,good,good,average,1,16203995,0,,good,4,GGR321,"Vince takes his courses very seriously. Too seriously. Ok, annoyingly serious. He maxes out the amount he can take off on &quot;formatting&quot; on reports over the dumbest things. He watches what you do on the unix computers from home. He's condescendingly smug when talking one on one and expect to spend 20 hours on a 10% assignment and still get a C.",09/24/2009,5.0,5.0,,3,It's my life,3.5,3.5,1,No,1253807644000,N/A,4928,N/A,,N/A,[],people,person
N/A,good,good,good,1,16065420,0,,awesome,5,GGR321,"Extremely difficult class - but in the context of the eroding quality and challenge of university courses this class was refreshing. Yes it's hard; but, if you want to learn GIS from the ground up, solve problems that are challenging with real world implications and answers not found on Google then Robinson's class is great.",07/25/2009,5.0,5.0,,4,It's my life,4.5,4.5,1,Yes,1248544366000,N/A,4928,N/A,,N/A,[],people,person
N/A,good,average,average,0,15437521,1,,average,4,GGR321,"Worst Prof. I had at UTM. Do NOT take his courses unless you love GIS and have experience with it. Instead of helping with the concepts he just makes you feel stupid for not knowing. If it weren't for the other students in the class with GIS experience, I dont think I would have lasted...just aweful.",02/03/2009,3.0,3.0,,2,Sorta interested,3.0,3.0,1,Yes,1233672047000,N/A,4928,N/A,,N/A,[],person,people
N/A,average,good,average,0,14785587,1,,average,2,GGR321,Reason why I am taking GIS minors is to avoid his courses. If you are not smart or little smart you will end up with failing grades.,08/29/2008,5.0,5.0,,3,Meh,2.5,2.5,1,Yes,1219978131000,N/A,4928,N/A,,N/A,[],person,people
N/A,poor,average,poor,0,12748368,1,,awful,1,GGR227,"completely boring. he seems to have interest in his own work, but has no idea how to get the class interested. he is a very boring teacher and his assignments are messed up.",01/09/2007,3.0,3.0,,1,Really into it,1.0,1.0,1,Yes,1168354122000,N/A,4928,N/A,,N/A,[],person,people
N/A,good,good,good,1,2561524,0,,awesome,5,GGR321,Doc was the best Prof ever. His lectures were extremely demanding but he was a great guide when we would run into problems. you come out of this class with a new look and perspective on everything.,10/18/2004,4.0,4.0,,5,Low,5.0,5.0,1,N/A,1098130733000,N/A,4928,N/A,,N/A,[],people,person
