attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,good,good,0,32954756,0,,awesome,5,RLG101,very sweet and caring and understanding prof!,03/05/2020,4.0,4.0,,5,N/A,5.0,5.0,1,Yes,1583445074000,Yes,4928,Yes,,N/A,[],people,people
Not Mandatory,good,average,good,0,32942880,0,,awesome,5,RLG101H5,"Ken somehow managed to make even the most boring material interesting and interactive in his lectures. There were only two assignments and an exam, but they were easy. If you're stuck on an assignment, go to his office hours and he gives SUCH helpful feedback! Hands down the best professor at this school; he genuinely cares about his students.",03/01/2020,2.0,2.0,,5,N/A,5.0,5.0,1,Yes,1583087541000,Yes,4928,Yes,,A,"['Respected', 'Amazing lectures', 'Graded by few things']",people,people
Not Mandatory,good,poor,good,0,32906563,0,,awesome,5,RLG101,Ken Derry is simply an amazing prof! His lectures are super engaging and he engages with different teaching strategies so everyone has the opportunity to succeed. It's super easy to get a good mark in the class because he WANTS you to do well! I would take every single one of Ken's classes if I could,02/12/2020,1.0,1.0,,5,N/A,5.0,5.0,1,Yes,1581540206000,Yes,4928,Yes,,A+,"['Caring', 'Amazing lectures', 'Group projects']",people,people
Not Mandatory,good,good,good,0,32795067,0,,awesome,5,RLG101,"Professor Ken does an amazing job at teaching this class, he makes his lectures interesting and highly simplifies textbook material! I did really well in his class because I genuinely liked it very much. If you hate reading the textbook, make sure to attend the lectures as he gives really explanations + examples (very helpful for the exam)",01/05/2020,4.0,4.0,,5,N/A,5.0,5.0,1,Yes,1578240568000,Yes,4928,Yes,,A+,"['Caring', 'Gives good feedback', 'Clear grading criteria']",people,people
Mandatory,good,average,good,0,32412053,0,,awesome,5,RLG101H5,"I love Prof. Derry!!! I honestly only took this class because I needed a HUM course for my distribution requirements and had kinda low expectations. But his lectures are so fun. Hes super interactive in class and he explains theories in a simple way so that you can understand. If you attend lectures and attend ALL tutorials, youll do great.",11/14/2019,2.0,2.0,,5,N/A,5.0,5.0,1,Yes,1573706498000,Yes,4928,Yes,,A,"['Clear grading criteria', 'Participation matters', 'Amazing lectures']",people,people
Not Mandatory,good,poor,good,0,32208055,0,,awesome,5,RLG101H5,He was amazing! I had him first year &amp; he was the only prof who seemed to care about students. If you show up to every lecture/TUT you're guaranteed an A but you'll still do ok if you just keep up with the slides. His class was the only true Intro class at that school- giving us freedom to be creative &amp; explore the topics that interest us most.,08/31/2019,1.0,1.0,,5,N/A,5.0,5.0,1,No,1567279776000,Yes,4928,Yes,,A,"['Gives good feedback', 'Get ready to read', 'Clear grading criteria']",people,people
Mandatory,good,average,good,0,32035301,0,,awesome,5,RLG101,"took RLG101 with him. He is super nice, assignments aren't very hard, and marking is very reasonable (but depends on TA). If you do the readings and the assignments, you can easily get a good mark.",06/17/2019,2.0,2.0,,5,N/A,5.0,5.0,1,Yes,1560815097000,Yes,4928,Yes,,A+,"['Hilarious', 'Caring', 'Graded by few things']",people,people
N/A,poor,good,poor,1,31833328,0,,awful,1,RLG101,Lectures very boring. Makes you sleepy. Says a lot of uhmmmss. Not the best class and definitely wont recommend it.,05/10/2019,4.0,4.0,,1,N/A,1.0,1.0,1,No,1557458956000,No,4928,No,,N/A,[],people,person
Mandatory,good,good,good,0,31469273,1,,awesome,5,VIC108,Kindest prof I've had at U of T.,03/23/2019,4.0,4.0,,5,N/A,5.0,5.0,1,No,1553316752000,Yes,4928,Yes,,B+,"['Amazing lectures', ""Skip class? You won't pass."", 'Participation matters']",person,people
Mandatory,good,average,good,0,31234498,4,,awesome,5,RLG101H,"Ken Derry is a great and very caring prof. Gives great feedback for essays, so be sure to stick around after lecture if you can't go to office hours. Is very engaging, uses many examples, and takes the time to learn students names. Textbook reading and lectures are somewhat optional but, tutorial attendance is not (attend all). Great prof overall!",01/10/2019,2.0,2.0,,5,N/A,5.0,5.0,1,Yes,1547081733000,Yes,4928,Yes,,A-,"['Participation matters', 'Caring', 'Inspirational']",people,people
Not Mandatory,good,average,good,0,31049880,4,,good,4,RLG101H,"Prof. Derry is one of the best at UTM! He's extremely passionate about religion and certainly, knows what he is talking about. Lecture slides get posted on the class website and it's better if you go to the actual lecture as he explains topics in more detail. Courseload isn't too bad if you stay on top of it. Overall, a great class with Prof. Derry",12/16/2018,3.0,3.0,,4,N/A,4.0,4.0,1,Yes,1544936853000,Yes,4928,Yes,,A-,"['Clear grading criteria', 'Caring', 'Respected']",people,people
N/A,good,average,good,1,31020617,4,,awesome,5,VIC108,"Really amazing prof!! Ken was so nice and supportive, humorous too! The class was interesting - the content is about Indigenous films and is okay (will depend on your take), but Ken made the class really inspirational with all the &quot;aside&quot; things that he talked about. Not even for the class, just for the prof, I'd say take his class! (Class at UTSG)",12/14/2018,3.0,3.0,,5,N/A,5.0,5.0,1,No,1544759933000,Yes,4928,Yes,,Not sure yet,"['Gives good feedback', 'Accessible outside class', 'Inspirational']",people,person
Mandatory,good,average,good,1,30320632,4,,good,4,RLG290Y,Ken is a very nice dude and he is definitely helpful when you have problems about the course.,07/04/2018,2.0,2.0,,4,N/A,4.0,4.0,1,Yes,1530740635000,Yes,4928,Yes,,A,"['Accessible outside class', 'Gives good feedback', 'Respected']",people,person
Mandatory,average,average,average,3,30320629,3,,average,3,RLG290Y,"Prof took us to so many temples and church to visit and know about the religions. I got much knowledge about the religion, which I did not know before",07/04/2018,3.0,3.0,,3,N/A,3.0,3.0,1,Yes,1530740514000,No,4928,Yes,,N/A,"['Gives good feedback', 'Group projects', 'Amazing lectures']",people,people
Mandatory,good,average,good,1,30320627,4,,awesome,5,RLG290,The best professor I've ever met.,07/04/2018,2.0,2.0,,5,N/A,5.0,5.0,1,Yes,1530740408000,Yes,4928,Yes,,N/A,"['Gives good feedback', 'Participation matters', 'Respected']",people,person
Mandatory,good,good,good,0,30320623,1,,awesome,5,RLG290,Ken is so friendly and so nice. He likes to be with students and discuss their work.,07/04/2018,4.0,4.0,,5,N/A,5.0,5.0,1,No,1530740211000,Yes,4928,Yes,,N/A,"['Respected', 'Participation matters', 'Caring']",person,people
Mandatory,good,average,good,0,30320622,1,,good,4,RLG290,Awesome professor and experience in Hong Kong Summer Abroad class! He is passionate about religion and the class was enjoyable. Field trips were such a great experience. Didnt exactly need readings,07/04/2018,2.0,2.0,,4,N/A,4.0,4.0,1,Yes,1530740161000,Yes,4928,No,,B+,['Gives good feedback'],person,people
Mandatory,good,average,good,0,30320616,1,,awesome,5,RLG290,Good,07/04/2018,3.0,3.0,,5,N/A,5.0,5.0,1,Yes,1530739850000,Yes,4928,Yes,,N/A,[],person,people
Mandatory,poor,poor,poor,3,29661371,9,,awful,1,RLG101,"Seemed alright at first. Ended up being a course that teaches about cultural marxism, rather than actual religion.",03/16/2018,1.0,1.0,,1,N/A,1.0,1.0,1,Yes,1521228833000,No,4928,No,,N/A,[],people,people
Not Mandatory,good,average,good,2,29380431,0,,good,4,RLG101,"I personally didn't do well in the course because there was just soo much tutorial homework and i never made it to tutorials cause they were EARLYY mornings but nonetheless Ken is an awesome prof, he speaks with great energy and really encourages participation. emails often and keeps everyone up to date. awesome prof if you keep up with the work.",01/03/2018,3.0,3.0,,4,N/A,4.0,4.0,1,Yes,1514989640000,Yes,4928,N/A,,N/A,"['Lots of homework', 'Amazing lectures', 'Caring']",people,people
Not Mandatory,good,average,good,1,29368011,0,,awesome,5,RLG101,"This course is very well structured and it is obvious that Derry cares about the students. He take time in lectures and office hours to learn the names of students. This course is writing-focused, as there are multiple writing assignments and homework that is due at each tutorial. Over half of the final exam was also writing based.",01/01/2018,2.0,2.0,,5,N/A,5.0,5.0,1,Yes,1514830193000,Yes,4928,Yes,,A,"['Caring', 'Get ready to read']",people,person
Mandatory,good,average,good,0,29341370,0,,good,4,RLG101,"Derry is a good professor. I took RLG101 with him. He posts the lectures online so you dont have to go to class. The Final Exam was basically the same as the one last year, which is online might I add. Take the course for an easy A. On the Final exam, you get a crib sheet (cheat sheet). Its smooth sailing. Do the homework for tutorials!",12/26/2017,2.0,2.0,,4,N/A,4.0,4.0,1,Yes,1514330317000,Yes,4928,Yes,,B+,"['Get ready to read', 'Participation matters', 'Respected']",people,people
