attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,good,good,0,29052909,0,,awesome,5,ANTA01,"He is a great Prof, enough said. He did scare me the first lecture on plagiarism, but that is to be expected. Other than that, he did care and knew how to teach. If you ever come back to UTSC Sergi, I will sign up immediately!",12/05/2017,4.0,4.0,,5,N/A,5.0,5.0,1,Yes,1512499876000,Yes,4919,Yes,,A-,"[""Skip class? You won't pass."", 'Hilarious', 'Tough grader']",people,people
Not Mandatory,good,average,good,0,27795919,0,,awesome,5,ANTC99,Great Prof! Took many courses with him and got great grades!,02/01/2017,2.0,2.0,,5,N/A,5.0,5.0,1,No,1485960256000,Yes,4919,Yes,,A+,"['Amazing lectures', 'Caring', 'Inspirational']",people,people
Mandatory,good,average,good,0,27707145,0,,awesome,5,ANTA01,Great prof and easy class if you show up and try hard!,01/10/2017,2.0,2.0,,5,N/A,5.0,5.0,1,Yes,1484049729000,Yes,4919,Yes,,N/A,"['Hilarious', 'Caring']",people,people
Mandatory,good,average,good,0,27693456,0,,awesome,5,ANTC99,"Funny and easily explains something if you don't understand, both in class and in his office hours.  I've taken several courses he's taught and I've loved them all",01/08/2017,3.0,3.0,,5,N/A,5.0,5.0,1,No,1483882153000,Yes,4919,Yes,,N/A,"['Accessible outside class', 'Gives good feedback', 'Hilarious']",people,people
Mandatory,good,average,good,0,27686627,0,,awesome,5,ANTA01,Prof. Lopez-Torres was my favourite prof last term! I will take any course he teaches!!!,01/06/2017,3.0,3.0,,5,N/A,5.0,5.0,1,Yes,1483731556000,Yes,4919,Yes,,N/A,"['Hilarious', 'Amazing lectures', 'Accessible outside class']",people,people
N/A,good,average,good,0,27679861,0,,awesome,5,ANTA01,"I had Prof. Lopez-Torres for my first science class ever in university, and he is honestly an amazing professor! His lecture slides were easy to understand, and his lecturing was simple and clear. He made the material being taught so interesting and easy to grasp. He is so kind and understanding, and I would recommend taking his class any day!",01/05/2017,3.0,3.0,,5,N/A,5.0,5.0,1,Yes,1483640221000,Yes,4919,Yes,,N/A,"['Inspirational', 'Caring', 'Amazing lectures']",people,people
