attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,poor,good,3,20403298,4,,awesome,5,PHLB50,Kremer has been my favorite professor at UofT so far. He explains everything really well. B50 is an easy class as well for anyone with any sort of logical reasoning skills. I got a 99 without any studying,06/12/2012,1.0,1.0,,5,Really into it,5.0,5.0,3,No,1339469696000,N/A,4919,N/A,,N/A,[],people,people
N/A,good,average,good,0,11463395,2,,good,4,PHLB50,No Comments,02/07/2006,3.0,3.0,,4,Meh,4.0,4.0,1,N/A,1139344913000,N/A,4919,N/A,,N/A,[],people,people
N/A,good,poor,good,1,11400420,1,,awesome,5,PHLB50,"easy course, nice prof, class avrg b something...",01/21/2006,1.0,1.0,,5,Really into it,5.0,5.0,1,N/A,1137879977000,N/A,4919,N/A,,N/A,[],person,person
N/A,poor,good,poor,2,3326509,4,,poor,1,PHLB80,BLA!,02/05/2005,4.0,4.0,,2,Sorta interested,1.5,1.5,1,N/A,1107625963000,N/A,4919,N/A,,N/A,[],people,people
