attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,average,average,average,0,28628363,0,,poor,2,PHL245,"He's alright. Pretty nice but the lectures were very, very dry.",08/20/2017,3.0,3.0,,2,N/A,2.0,2.0,1,Yes,1503206849000,No,4928,Yes,,INC,[],people,people
Mandatory,poor,good,poor,2,27264530,0,,awful,1,PHL145,"Prof Kuhl is  very approachable and easy to talk to. However, his lectures are very boring and he is very monotone. His slides are right off the textbook so don't waste your money purchasing one. When you ask a question, you will end up more confused than before you talked to him. The content of the course was interesting but he made it dreadful.",11/28/2016,4.0,4.0,,1,N/A,1.0,1.0,1,Yes,1480343982000,No,4928,Yes,,N/A,"['Get ready to read', ""Skip class? You won't pass."", 'Tough grader']",people,people
Mandatory,average,good,average,1,27126513,0,,average,3,PHL245,"be ready to read and  practice a lot from the book because those are the types of questions that come on the exam. professor kuhl maybe cool, but the test questions are neither kuhl nor cool",11/03/2016,4.0,4.0,,3,N/A,3.0,3.0,1,Yes,1478204210000,No,4928,Yes,,N/A,"['Tough grader', 'Lecture heavy', 'Get ready to read']",people,person
Mandatory,good,average,good,1,27062296,0,,awesome,5,PHL145,"Really chilled out prof. He tells you clearly what can be asked on the test. Gives very good examples, very smart and seems to love his subject. Imp to attend every lecture because the stuff he discusses will really help you understand better than the textbook.",10/21/2016,2.0,2.0,,5,N/A,5.0,5.0,1,Yes,1477018175000,Yes,4928,Yes,,N/A,"['Lecture heavy', 'Gives good feedback', 'Accessible outside class']",people,person
Mandatory,good,average,good,2,27013607,0,,awesome,5,PHL145,"Professor Kuhl is a really fun and knowledgable lecturer. He is clear when he teaches, goes slow over important points and gives examples that stick with you for the whole semester. (Also uses pop culture references like Sherlock/bands which is cool.) Very approachable, answers questions in a clear manner. Might talk a little quietly at times.",10/04/2016,3.0,3.0,,5,N/A,5.0,5.0,1,Yes,1475621382000,Yes,4928,Yes,,N/A,"['Gives good feedback', 'Hilarious', 'Accessible outside class']",people,people
