attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,good,good,0,29584759,0,,awesome,5,ENG236,"I have never been so stimulated in a class! Professor Crimmins is super down to earth and relatable while being incredibly intelligent and awe-inspiring with his ideas and discussions. He also truly values participation from students, and I feel like his students make an impact on him the same way he makes an impact on them. Life-changing prof.",02/21/2018,4.0,4.0,,5,N/A,5.0,5.0,1,Yes,1519231557000,Yes,4928,Yes,,N/A,"['Hilarious', 'Gives good feedback', 'Respected']",people,people
N/A,average,good,average,0,25496386,0,,good,3,ENG329,"He makes you crazy excited to read the material, tells hilarious stories, and is an all-around amazing professor. He doesn't assign too many essays or readings, and there are usually only two tests, which are the hardest part of the course. If you attend class regularly, you'll be fine. One of my favourite profs at UTM. ",11/28/2015,4.0,4.0,,4,Really into it,3.5,3.5,1,Yes,1448731380000,N/A,4928,Yes,,A,"['Gives good feedback', ""Skip class? You won't pass."", 'Amazing lectures']",people,people
Not Mandatory,average,average,good,0,25437354,0,,good,3,ENG365,"he's funny and clearly very knowledgeable in his field and what he teaches. Always there to help and guide students. Lectures almost always go off topic, all the time so its very hard to stay attentive.  ",11/18/2015,3.0,3.0,,5,It's my life,4.0,4.0,1,Yes,1447805001000,N/A,4928,Yes,,N/A,"['Lecture heavy', 'Hilarious']",people,people
Mandatory,average,average,average,0,24997380,0,,good,3,ENG365,"It was worth going to his lectures. He does not do much deep analysis but seriously funny guy. Has so many stories to tell in between lectures it was more entertaining than knowledgable. At the same time he was inspiring, loved the accent. 70% would take his course again. Thanks Crimmins!",06/26/2015,3.0,3.0,,4,Really into it,3.5,3.5,1,Yes,1435278783000,N/A,4928,Yes,,N/A,[],people,people
Not Mandatory,average,average,average,0,24018120,0,,good,3,ENG236,"He seems to know what he is talking about, but he often gets off track in tangents.  I found that you could either read the novels, or go to the lectures and he'd explain all of the plots to you.  He did not add a lot to our reading of the novels and he has a huge crush on Sir Arthur Conan Doyle and Edgar Allen Poe.",12/10/2014,3.0,3.0,,4,Sorta interested,3.5,3.5,1,Yes,1418221277000,N/A,4928,N/A,,N/A,"['Participation matters', 'Get ready to read', 'Tough grader']",people,people
Not Mandatory,good,average,good,0,23833141,0,,awesome,4,ENG236,Crimmins is fantastic! The reason I'm an English major now. He's so engaged and super helpful. Fair marker. He tends to insert his own personal stories into the lectures which are always hilarious. I've taken many other classes with him with the same result. Favourite UTM English prof by far. Definitely recommend. Attendance is worth it.,11/17/2014,3.0,3.0,,5,Sorta interested,4.5,4.5,1,Yes,1416250212000,N/A,4928,Yes,,N/A,"['Gives good feedback', 'Respected', 'Hilarious']",people,people
N/A,good,average,good,0,21880312,0,,good,4,ENG236,"This was my first english class ever, but I feel like I could not have had a better instructor. The marking was clear and very fair. The lectures engaging. On comment: the breaks are usually under 10 minutes and in a 3 hours class that is a bit taxing. Other then that, so complaints",06/10/2013,3.0,3.0,,4,Really into it,4.0,4.0,1,Yes,1370886227000,N/A,4928,N/A,,N/A,[],people,people
N/A,good,average,good,0,21479003,0,,good,4,ENG250ENG380,"He's a great prof! Very fair marker, and seems very understanding. He does digress, but it usually leads to being hilarious. I've had him a couple of times, and no exam!",04/03/2013,2.0,2.0,,4,Low,4.0,4.0,1,Yes,1364954057000,N/A,4928,N/A,,N/A,[],people,people
N/A,good,good,good,0,21456541,0,,awesome,5,ENG280,"This prof is the reason I didnt drop out of university. I had him in second year english and he completely changed my outlook on literature. put simply it was the last day of class, there was no participation marks and he had already given the exam prep sheet but the whole auditorium was full",03/27/2013,4.0,4.0,,4,Low,4.5,4.5,1,Yes,1364416498000,N/A,4928,N/A,,N/A,[],people,people
N/A,good,poor,good,0,20683519,0,,awesome,5,BRITF1,Very engaging instructor,10/06/2012,1.0,1.0,,4,It's my life,4.5,4.5,1,Yes,1349556270000,N/A,4928,N/A,,N/A,[],people,people
N/A,good,average,good,0,19994051,0,,awesome,4,ENG328,"So entertaining and passionate! He's very understanding. The texts he chooses are so interesting and challenging, but very worthwhile. He does 'digress', but that's really part of his charm!",04/03/2012,2.0,2.0,,5,It's my life,4.5,4.5,1,Yes,1333496041000,N/A,4928,N/A,,N/A,[],people,people
N/A,average,average,good,0,18927226,0,,good,3,ENG150,BEST PROF EVER! soo nice and funny...I used to love going to his class..he made them really enjoyable and was a very fair marker. LOVE HIM!,08/17/2011,2.0,2.0,,5,Really into it,4.0,4.0,1,Yes,1313610669000,N/A,4928,N/A,,N/A,[],people,people
N/A,good,average,good,0,18758031,0,,awesome,4,ENG236,BEST English prof at UTM in my opinion. He's extremely approachable and he's an easy marker (his TA's not so much). He rambles but that makes his lectures interesting. Very funny and always willing to help a student.,06/23/2011,2.0,2.0,,5,It's my life,4.5,4.5,1,Yes,1308789002000,N/A,4928,N/A,,N/A,[],people,people
N/A,good,average,good,0,18756675,0,,awesome,5,ENG236,Loved him from the start. I had him first year and always hoped we'd run into each other again. His interest in all things aids in your learning experience and you never walk away from class empty handed for his personal anecdotes never end.,06/22/2011,2.0,2.0,,5,It's my life,5.0,5.0,1,Yes,1308765283000,N/A,4928,N/A,,N/A,[],people,people
N/A,good,average,good,0,18724000,0,,good,4,ENG140,"This is an amazing professor. His enthusiasm for the material makes the 3 hour class not only tolerable, but enjoyable. He does like to go off on tangents however, and while I find them absolutely hilarious, others may get distracted.",06/12/2011,2.0,2.0,,4,It's my life,4.0,4.0,1,Yes,1307886387000,N/A,4928,N/A,,N/A,[],people,people
N/A,good,average,good,0,17579470,0,,awesome,5,ENG329,LOVE THIS MAN!,09/07/2010,2.0,2.0,,5,Sorta interested,5.0,5.0,1,Yes,1283892307000,N/A,4928,N/A,,N/A,[],people,people
N/A,good,good,good,0,17526000,0,,awesome,4,ENG236,"This is my second time with professor crimmins and completely worth it. Det. Fic. was so much more enjoyable with his knowledge and passion for the subject. Great anecdotes, really interesting books and his lectures are just insightful and intriguing. His TA choice was poor, but that did not take away from the class. Would def. take another!",08/18/2010,4.0,4.0,,5,Sorta interested,4.5,4.5,1,Yes,1282158592000,N/A,4928,N/A,,N/A,[],people,people
N/A,good,average,good,0,17418707,0,,good,4,ENG364,"Good reading selection. May tell alot of tall tales and digress alot, yet he usually brings it back to lecture. Easy to follow material and very fair testing .",07/14/2010,3.0,3.0,,4,It's my life,4.0,4.0,1,Yes,1279115639000,N/A,4928,N/A,,N/A,[],people,people
N/A,average,average,average,0,17418623,0,,good,3,ENG140,"He may digress alot , but the points needed are made. Interesting material choices , fun stories and lecture style",07/14/2010,2.0,2.0,,4,Really into it,3.5,3.5,1,Yes,1279114449000,N/A,4928,N/A,,N/A,[],people,people
N/A,average,poor,average,0,17396778,1,,good,3,ENG140,"He loves what he's talking about but he also loves to digress and while this may be funny for the first month it does eventually become sometimes frustrating. However, I still loved his class and I would and will choose to have him as a prof again.",07/07/2010,1.0,1.0,,4,It's my life,3.5,3.5,1,Yes,1278497209000,N/A,4928,N/A,,N/A,[],person,people
N/A,average,average,average,0,17393732,0,,average,3,ENG329,"He's a really nice guy, and is helpful and understanding, but he's really hard to follow in his lectures. His level of enthusiasm is high, but he goes off on tangents too often to make his lectures entirely comprehensible.",07/06/2010,2.0,2.0,,3,Low,3.0,3.0,1,Yes,1278413882000,N/A,4928,N/A,,N/A,[],people,people
N/A,good,average,average,0,17346500,0,,good,4,ENG236,"Very enthusiastic on the subject and is funny, though he does go way off track at some points about other things that aren't really relevant. His test is alright but a bit too long, and for essays he's a hard marker =x",06/18/2010,3.0,3.0,,3,Really into it,3.5,3.5,1,Yes,1276826131000,N/A,4928,N/A,,N/A,[],people,people
N/A,good,average,good,0,17319869,0,,good,4,ENG236,"Most enthusiastic prof I have come across. A great lecturer, very helpful with essays and provides a lot of feedback. Detective Fiction is an awesome course! =D",06/09/2010,3.0,3.0,,4,Really into it,4.0,4.0,1,Yes,1276105757000,N/A,4928,N/A,,N/A,[],people,people
N/A,average,average,average,0,16903143,0,,average,3,ENG140,"Crimmins is a good lecturer, but I didn't find the course material/readings very interesting. Also, the 6-9pm timeslot (which he usually teaches) and the small, semi-crowded classroom and uncomfortable seats can really destroy your attention/focus. 3hr evening classes are terrible, in my opinion. Avoid them when you can!",03/24/2010,3.0,3.0,,3,It's my life,3.0,3.0,1,Yes,1269391340000,N/A,4928,N/A,,N/A,[],people,people
