tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Computer & Math. Sciences,4919,University of Toronto at Scarborough,Richard,,Pancer,265622,71,average,TEACHER,PROFESSOR,3.0
Health Science,4919,University of Toronto at Scarborough,Celeste,,Pang,2511959,2,good,TEACHER,PROFESSOR,5.0
History,4919,University of Toronto at Scarborough,Neville,,Panthaki,979037,8,good,TEACHER,PROFESSOR,4.8
Psychology,4919,University of Toronto at Scarborough,Angelina,,Paolozza,2172674,13,average,TEACHER,PROFESSOR,3.0
English,4919,University of Toronto at Scarborough,Natalie,,Papoutsis,935232,5,good,TEACHER,PROFESSOR,4.3
Psychology,4919,University of Toronto at Scarborough,Dwayne,,Pare,1801559,43,good,TEACHER,PROFESSOR,4.2
Anthropology,4919,University of Toronto at Scarborough,Joyce,,Parga,1174704,7,good,TEACHER,PROFESSOR,4.9
Humanities,4919,University of Toronto at Scarborough,Jin,,Park,1576116,2,poor,TEACHER,PROFESSOR,2.2
Management,4919,University of Toronto at Scarborough,John,,Parkinson,2383763,0,zero,TEACHER,PROFESSOR,N/A
Economics,4919,University of Toronto at Scarborough,John,,Parkinson,2271531,2,average,TEACHER,PROFESSOR,3.0
Economics,4919,University of Toronto at Scarborough,Jack,,Parkinson,457273,54,average,TEACHER,PROFESSOR,3.0
Biological Sciences,4919,University of Toronto at Scarborough,Rajit,,Patankar,1952778,7,good,TEACHER,PROFESSOR,4.6
Women's Studies,4919,University of Toronto at Scarborough,Shaista,,Patel,2156177,5,good,TEACHER,PROFESSOR,5.0
English,4919,University of Toronto at Scarborough,Andrew,,Patenall,337891,33,average,TEACHER,PROFESSOR,3.2
Geography,4919,University of Toronto at Scarborough,Kamal,,Paudel,2150088,3,average,TEACHER,PROFESSOR,3.0
Anthropology,4919,University of Toronto at Scarborough,Alejandro,,Paz,2211916,6,average,TEACHER,PROFESSOR,3.0
English,4919,University of Toronto at Scarborough,Alexandra,,Peat,727728,20,good,TEACHER,PROFESSOR,4.5
History,4919,University of Toronto at Scarborough,C,,Pennington,705948,22,good,TEACHER,PROFESSOR,4.7
Religion,4919,University of Toronto at Scarborough,David,,Perley,1460330,20,good,TEACHER,PROFESSOR,3.8
Biological Sciences,4919,University of Toronto at Scarborough,Kamini,,Persaud,1564041,3,good,TEACHER,PROFESSOR,4.3
Psychology,4919,University of Toronto at Scarborough,Ted,,Petit,472817,59,good,TEACHER,PROFESSOR,3.8
Humanities,4919,University of Toronto at Scarborough,Michael,,Petit,1476953,32,good,TEACHER,PROFESSOR,3.9
Psychology,4919,University of Toronto at Scarborough,Laura-Ann,,Petitto,1121011,5,good,TEACHER,PROFESSOR,4.9
Science,4919,University of Toronto at Scarborough,Dennis,,Phil,1613977,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,4919,University of Toronto at Scarborough,Brian,,Pike,1693280,4,good,TEACHER,PROFESSOR,3.9
History,4919,University of Toronto at Scarborough,Jeffrey,,Pilcher,2142986,6,average,TEACHER,PROFESSOR,2.9
Humanities,4919,University of Toronto at Scarborough,Maud,,Pillet,1466268,24,good,TEACHER,PROFESSOR,4.3
Sociology,4919,University of Toronto at Scarborough,Laura,,Pitkanen,1930579,4,good,TEACHER,PROFESSOR,5.0
Mathematics,4919,University of Toronto at Scarborough,G.,,Pitt,1194291,2,good,TEACHER,PROFESSOR,5.0
Psychology,4919,University of Toronto at Scarborough,Franca,,Placenza,1129748,9,good,TEACHER,PROFESSOR,4.2
English,4919,University of Toronto at Scarborough,Judy,,Pocock,1719763,2,good,TEACHER,PROFESSOR,4.2
Psychology,4919,University of Toronto at Scarborough,Olivia,,Podolak,2368901,6,good,TEACHER,PROFESSOR,4.7
Classics,4919,University of Toronto at Scarborough,Alexandra,,Pohlod,1883853,1,poor,TEACHER,PROFESSOR,2.0
Chemistry,4919,University of Toronto at Scarborough,Janet,,Potter,559760,7,good,TEACHER,PROFESSOR,4.0
Languages,4919,University of Toronto at Scarborough,Kristopher,,Poulin-Thibault,2404082,2,good,TEACHER,PROFESSOR,5.0
Economics,4919,University of Toronto at Scarborough,Vinh,,Quan,1424030,20,average,TEACHER,PROFESSOR,2.6
Management,4919,University of Toronto at Scarborough,George,,Quan Fun,458848,65,good,TEACHER,PROFESSOR,3.7
Computer amp Math. Sciences,4919,University of Toronto at Scarborough,Mustafa,,Quraish,2568114,0,zero,TEACHER,PROFESSOR,N/A
Business,4919,University of Toronto at Scarborough,Phanikiran,,Radhakrishnan,2299396,1,good,TEACHER,PROFESSOR,5.0
Management,4919,University of Toronto at Scarborough,Phani,,Radhakrishnan,592666,26,poor,TEACHER,PROFESSOR,2.3
Languages,4919,University of Toronto at Scarborough,Pavlina,,Radia,253766,25,good,TEACHER,PROFESSOR,3.6
English,4919,University of Toronto at Scarborough,Ram,,Rahim,921406,0,zero,TEACHER,PROFESSOR,N/A
Political Science,4919,University of Toronto at Scarborough,Robin,,Ramcharan,902475,13,poor,TEACHER,PROFESSOR,1.6
Health Science,4919,University of Toronto at Scarborough,Jason,,Ramsay,985130,6,average,TEACHER,PROFESSOR,2.8
Mathematics,4919,University of Toronto at Scarborough,Anja,,Randecker,2403035,8,average,TEACHER,PROFESSOR,3.2
Music,4919,University of Toronto at Scarborough,Alexander,Sasha,Rapoport,1786176,4,good,TEACHER,PROFESSOR,5.0
Business,4919,University of Toronto at Scarborough,Sathees,,Ratnam,1076881,5,good,TEACHER,PROFESSOR,4.8
Mathematics,4919,University of Toronto at Scarborough,Steven,,Rayan,1855478,12,good,TEACHER,PROFESSOR,5.0
Management,4919,University of Toronto at Scarborough,Linda,,Reeser,1414847,1,good,TEACHER,PROFESSOR,4.0
Biological Sciences,4919,University of Toronto at Scarborough,Stephen,,Reid,369644,49,good,TEACHER,PROFESSOR,4.3
Physics,4919,University of Toronto at Scarborough,Hanno,,Rein,2112953,2,average,TEACHER,PROFESSOR,2.8
Geography,4919,University of Toronto at Scarborough,T,,Relph,418481,8,good,TEACHER,PROFESSOR,4.2
Political Science,4919,University of Toronto at Scarborough,Stefan,,Renckens,2078903,4,average,TEACHER,PROFESSOR,3.3
Chemistry,4919,University of Toronto at Scarborough,Wanda,,Restivo,482417,13,good,TEACHER,PROFESSOR,3.9
Health Science,4919,University of Toronto at Scarborough,Mana,,Rezai,2398683,2,average,TEACHER,PROFESSOR,3.0
Political Science,4919,University of Toronto at Scarborough,R,,Rice,1157501,23,good,TEACHER,PROFESSOR,4.8
Biological Sciences,4919,University of Toronto at Scarborough,Blake,,Richards,1912168,22,average,TEACHER,PROFESSOR,3.5
International Studies,4919,University of Toronto at Scarborough,W. Tim G.,,Richardson,802653,14,good,TEACHER,PROFESSOR,4.1
Philosophy,4919,University of Toronto at Scarborough,Jon,,Rick,2291158,1,good,TEACHER,PROFESSOR,5.0
Biological Sciences,4919,University of Toronto at Scarborough,Nicole,,Ricker,1222321,0,zero,TEACHER,PROFESSOR,N/A
Humanities,4919,University of Toronto at Scarborough,Pascal,,Riendeau,345697,12,good,TEACHER,PROFESSOR,4.3
Biological Sciences,4919,University of Toronto at Scarborough,Dan,,Riggs,346353,67,average,TEACHER,PROFESSOR,3.3
Anthropology,4919,University of Toronto at Scarborough,Diane,,Riskedahl,2040014,5,good,TEACHER,PROFESSOR,4.4
Geography,4919,University of Toronto at Scarborough,David,,Roberts,1808140,0,zero,TEACHER,PROFESSOR,N/A
History,4919,University of Toronto at Scarborough,Ian,,Robertson,639803,7,average,TEACHER,PROFESSOR,3.2
History,4919,University of Toronto at Scarborough,Steven,,Rockel,300435,27,average,TEACHER,PROFESSOR,3.0
English,4919,University of Toronto at Scarborough,Joel,,Rodgers,2103202,6,good,TEACHER,PROFESSOR,5.0
English,4919,University of Toronto at Scarborough,Robert,,Romeo,873651,0,zero,TEACHER,PROFESSOR,N/A
English,4919,University of Toronto at Scarborough,Natalie,,Rose,941454,16,good,TEACHER,PROFESSOR,3.5
Political Science,4919,University of Toronto at Scarborough,Evan,,Rosevear,2555207,1,poor,TEACHER,PROFESSOR,2.0
Political Science,4919,University of Toronto at Scarborough,Evan,,Roseveer,2448542,3,average,TEACHER,PROFESSOR,2.7
Computer & Math. Sciences,4919,University of Toronto at Scarborough,Alan,,Rosselet,802452,4,good,TEACHER,PROFESSOR,3.9
History,4919,University of Toronto at Scarborough,Natalie,,Rothman,955354,13,average,TEACHER,PROFESSOR,3.3
Languages,4919,University of Toronto at Scarborough,Anne,,Rover,1890910,7,average,TEACHER,PROFESSOR,3.2
Political Science,4919,University of Toronto at Scarborough,Arthur,,Rubinoff,704933,13,average,TEACHER,PROFESSOR,2.6
English,4919,University of Toronto at Scarborough,Majorie,,Rubright,1157644,5,good,TEACHER,PROFESSOR,4.3
Psychology,4919,University of Toronto at Scarborough,Anthony,,Ruocco,1700101,9,good,TEACHER,PROFESSOR,4.5
Physics,4919,University of Toronto at Scarborough,Matt,,Russo,2098145,7,good,TEACHER,PROFESSOR,4.4
Biological Sciences,4919,University of Toronto at Scarborough,Stefan,,Rusyniak,655055,27,average,TEACHER,PROFESSOR,3.2
English,4919,University of Toronto at Scarborough,Brandy,,Ryan,1316351,1,average,TEACHER,PROFESSOR,3.0
Geography,4919,University of Toronto at Scarborough,Parastou,,Saberi,2164579,2,good,TEACHER,PROFESSOR,4.5
English,4919,University of Toronto at Scarborough,Manpreet,,Sahota,2134522,0,zero,TEACHER,PROFESSOR,N/A
Languages,4919,University of Toronto at Scarborough,Nida,,Sajid,1187584,7,good,TEACHER,PROFESSOR,4.0
Management,4919,University of Toronto at Scarborough,Alan,,Saks,1253154,1,good,TEACHER,PROFESSOR,4.0
Sociology,4919,University of Toronto at Scarborough,Rania,,Salem,1837493,20,average,TEACHER,PROFESSOR,2.6
Computer & Math. Sciences,4919,University of Toronto at Scarborough,Mahinda,,Samarakoon,636973,60,good,TEACHER,PROFESSOR,4.3
Anthropology,4919,University of Toronto at Scarborough,Scott,,Sams,1858918,2,good,TEACHER,PROFESSOR,5.0
Music,4919,University of Toronto at Scarborough,Annette,,Sanger,253763,18,good,TEACHER,PROFESSOR,3.6
Art History,4919,University of Toronto at Scarborough,Annette,,Sanger,2070379,0,zero,TEACHER,PROFESSOR,N/A
Computer  Math. Sciences,4919,University of Toronto at Scarborough,Thierry,,Sans,2278578,8,good,TEACHER,PROFESSOR,3.7
Languages,4919,University of Toronto at Scarborough,Camelia,,Sararu,2280723,1,good,TEACHER,PROFESSOR,5.0
Chemistry,4919,University of Toronto at Scarborough,Effiette,,Sauer,1264016,26,good,TEACHER,PROFESSOR,4.2
Biological Sciences,4919,University of Toronto at Scarborough,Monica,,Sauer,2079374,4,average,TEACHER,PROFESSOR,2.9
Anthropology,4919,University of Toronto at Scarborough,Lawrence,,Sawchuk,2246191,0,zero,TEACHER,PROFESSOR,N/A
Anthropology,4919,University of Toronto at Scarborough,Larry,,Sawchuk,256678,112,good,TEACHER,PROFESSOR,4.3
Computer & Math. Sciences,4919,University of Toronto at Scarborough,John,,Scherk,1317129,1,good,TEACHER,PROFESSOR,4.0
Political Science,4919,University of Toronto at Scarborough,Robert,,Schertzer,1855312,4,good,TEACHER,PROFESSOR,4.5
Anthropology,4919,University of Toronto at Scarborough,Michael,,Schillaci,270919,60,good,TEACHER,PROFESSOR,3.5
Psychology,4919,University of Toronto at Scarborough,Mark,,Schmuckler,424037,68,average,TEACHER,PROFESSOR,2.7
Computer Science,4919,University of Toronto at Scarborough,Bianca,,Schroeder,2199043,5,good,TEACHER,PROFESSOR,4.8
Mathematics,4919,University of Toronto at Scarborough,Geoffrey,,Scott,2279164,5,good,TEACHER,PROFESSOR,4.8
Philosophy,4919,University of Toronto at Scarborough,William,,Seager,585990,27,good,TEACHER,PROFESSOR,4.3
Psychology,4919,University of Toronto at Scarborough,Zindel,V.,Segal,1897210,1,average,TEACHER,PROFESSOR,3.0
Sociology,4919,University of Toronto at Scarborough,Aysan,,Sev'Er,257202,40,poor,TEACHER,PROFESSOR,2.5
Marketing,4919,University of Toronto at Scarborough,Avni,,Shah,2386236,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,4919,University of Toronto at Scarborough,Zohreh,,Shahbazi,1617892,8,good,TEACHER,PROFESSOR,3.9
Accounting,4919,University of Toronto at Scarborough,Ron,,Shalev,2429163,3,average,TEACHER,PROFESSOR,3.3
Political Science,4919,University of Toronto at Scarborough,Torrey,,Shanks,2213471,4,good,TEACHER,PROFESSOR,5.0
History,4919,University of Toronto at Scarborough,J,,Sharma,1438345,10,poor,TEACHER,PROFESSOR,2.3
Social Science,4919,University of Toronto at Scarborough,Umesh,,Sharma,2281213,0,zero,TEACHER,PROFESSOR,N/A
History,4919,University of Toronto at Scarborough,Jayeeta,,Sharma,2402994,0,zero,TEACHER,PROFESSOR,N/A
Not Specified,4919,University of Toronto at Scarborough,Eric,,Shaver,970962,8,poor,TEACHER,PROFESSOR,2.0
Religion,4919,University of Toronto at Scarborough,Henry,,Shiu,1043311,30,average,TEACHER,PROFESSOR,2.7
Anthropology,4919,University of Toronto at Scarborough,Merav,,Shohet,1906552,4,poor,TEACHER,PROFESSOR,2.1
Political Science,4919,University of Toronto at Scarborough,Igor,,Shoikhedbrod,2384544,13,good,TEACHER,PROFESSOR,4.7
Health Science,4919,University of Toronto at Scarborough,Suzanne,,Sicchia,1834590,27,good,TEACHER,PROFESSOR,4.0
Anthropology,4919,University of Toronto at Scarborough,Mary,,Silcox,72792,32,good,TEACHER,PROFESSOR,4.3
Sociology,4919,University of Toronto at Scarborough,Dan,,Silver,1189012,16,good,TEACHER,PROFESSOR,4.0
Health Science,4919,University of Toronto at Scarborough,Michelle,,Silver,1529914,17,good,TEACHER,PROFESSOR,4.2
Biological Sciences,4919,University of Toronto at Scarborough,Lorelei Gavrilla,,Silverman,1455965,2,good,TEACHER,PROFESSOR,4.2
Science,4919,University of Toronto at Scarborough,Wauchop,,Simon,770866,0,zero,TEACHER,PROFESSOR,N/A
Geography,4919,University of Toronto at Scarborough,Myrna,,Simpson,313278,12,average,TEACHER,PROFESSOR,3.3
Chemistry,4919,University of Toronto at Scarborough,Andre,,Simpson,800596,5,good,TEACHER,PROFESSOR,4.1
Political Science,4919,University of Toronto at Scarborough,G.,,Skogstad,757988,11,good,TEACHER,PROFESSOR,4.0
Anthropology,4919,University of Toronto at Scarborough,Peter,,Skrivanic,1527803,8,average,TEACHER,PROFESSOR,3.3
Political Science,4919,University of Toronto at Scarborough,Waldemar,,Skrobacki,1094058,27,good,TEACHER,PROFESSOR,4.1
Humanities,4919,University of Toronto at Scarborough,C.C.,,Smith,752738,5,average,TEACHER,PROFESSOR,2.8
History,4919,University of Toronto at Scarborough,David,,Smith,1812355,0,zero,TEACHER,PROFESSOR,N/A
Computer & Math. Sciences,4919,University of Toronto at Scarborough,Kathleen,,Smith,1625297,45,good,TEACHER,PROFESSOR,5.0
Philosophy,4919,University of Toronto at Scarborough,Rodney,,Snooks,815460,2,average,TEACHER,PROFESSOR,2.5
Human Geography  City Studies,4919,University of Toronto at Scarborough,Kelly,,Snow,2001634,5,good,TEACHER,PROFESSOR,3.6
Biological Sciences,4919,University of Toronto at Scarborough,Fraser,,Soares,2469851,3,good,TEACHER,PROFESSOR,4.3
Political Science,4919,University of Toronto at Scarborough,Susan,,Solomon,496669,19,good,TEACHER,PROFESSOR,3.6
Mathematics,4919,University of Toronto at Scarborough,Mohsen,,Soltanifar,2280651,28,average,TEACHER,PROFESSOR,2.5
Anthropology,4919,University of Toronto at Scarborough,R,,Song,639397,17,average,TEACHER,PROFESSOR,3.5
Languages,4919,University of Toronto at Scarborough,Snejina,,Sonina,1037234,11,good,TEACHER,PROFESSOR,4.6
Geography,4919,University of Toronto at Scarborough,Andre,,Sorensen,531648,16,good,TEACHER,PROFESSOR,3.5
Anthropology,4919,University of Toronto at Scarborough,Antonio,,Sorge,2312513,1,good,TEACHER,PROFESSOR,4.0
Biological Sciences,4919,University of Toronto at Scarborough,Connie,,Soros,555005,40,poor,TEACHER,PROFESSOR,2.4
History,4919,University of Toronto at Scarborough,Ronald,De,Sousa,2504430,0,zero,TEACHER,PROFESSOR,N/A
Psychology,4919,University of Toronto at Scarborough,Michael,,Souza,2176692,37,good,TEACHER,PROFESSOR,4.7
Sociology,4919,University of Toronto at Scarborough,Jennifer,,Sparks,2486515,2,average,TEACHER,PROFESSOR,3.0
Sociology,4919,University of Toronto at Scarborough,Nicholas,,Spence,2387981,0,zero,TEACHER,PROFESSOR,N/A
Health Science,4919,University of Toronto at Scarborough,Nicholas,,Spence,2454369,1,good,TEACHER,PROFESSOR,5.0
Theater,4919,University of Toronto at Scarborough,Paula,,Sperdakos,372458,10,average,TEACHER,PROFESSOR,3.0
Sociology,4919,University of Toronto at Scarborough,Lauren,,Spring,2332046,1,good,TEACHER,PROFESSOR,5.0
Classics,4919,University of Toronto at Scarborough,Tracy,L.,Spurrier,2091985,13,good,TEACHER,PROFESSOR,4.5
Humanities,4919,University of Toronto at Scarborough,Alan,,Stanbridge,324987,6,average,TEACHER,PROFESSOR,3.4
English,4919,University of Toronto at Scarborough,Rachel,,Stapleton,2255975,1,good,TEACHER,PROFESSOR,4.0
Leadership,4919,University of Toronto at Scarborough,A.,,Stark,1006589,0,zero,TEACHER,PROFESSOR,N/A
Management,4919,University of Toronto at Scarborough,Andrew,,Stawinoga,388942,13,good,TEACHER,PROFESSOR,3.7
Geography,4919,University of Toronto at Scarborough,Silvija,,Stefanovic,1039639,29,average,TEACHER,PROFESSOR,3.2
Science,4919,University of Toronto at Scarborough,Jovan,,Stefanovic,1508054,8,average,TEACHER,PROFESSOR,2.8
Environmental Science,4919,University of Toronto at Scarborough,Silvija,,Stefanovic,2576939,0,zero,TEACHER,PROFESSOR,N/A
Biological Sciences,4919,University of Toronto at Scarborough,Ivana,,Stehlik,1792243,19,good,TEACHER,PROFESSOR,4.3
Geography,4919,University of Toronto at Scarborough,Lindsay,,Stephens,1812992,4,good,TEACHER,PROFESSOR,3.9
Philosophy,4919,University of Toronto at Scarborough,Dustin,,Stokes,1328579,18,good,TEACHER,PROFESSOR,4.3
Health Science,4919,University of Toronto at Scarborough,Alyson,,Stone,583691,5,average,TEACHER,PROFESSOR,2.7
Sociology,4919,University of Toronto at Scarborough,Katherine,,Stuart,1664480,2,good,TEACHER,PROFESSOR,4.8
Philosophy,4919,University of Toronto at Scarborough,Jacob,,Stump,2413887,20,good,TEACHER,PROFESSOR,5.0
Biological Sciences,4919,University of Toronto at Scarborough,Rachel,,Sturge,2216453,12,average,TEACHER,PROFESSOR,3.2
Chemistry,4919,University of Toronto at Scarborough,Ruby,,Sullan,2437951,12,poor,TEACHER,PROFESSOR,1.6
Mathematics,4919,University of Toronto at Scarborough,Qiang,,Sun,2475671,3,poor,TEACHER,PROFESSOR,1.0
History,4919,University of Toronto at Scarborough,Robin,,Sutherland-Harris,1425182,3,good,TEACHER,PROFESSOR,5.0
Computer & Math. Sciences,4919,University of Toronto at Scarborough,Michael,,Szamosi,468375,21,average,TEACHER,PROFESSOR,2.5
Mathematics,4919,University of Toronto at Scarborough,Balazs,,Szegedy,1341299,3,average,TEACHER,PROFESSOR,2.8
Computer amp Math. Sciences,4919,University of Toronto at Scarborough,David,,Szeto,2419701,1,good,TEACHER,PROFESSOR,4.0
Sociology,4919,University of Toronto at Scarborough,Vanina,,Sztainbok,1735669,2,good,TEACHER,PROFESSOR,4.0
Computer & Math. Sciences,4919,University of Toronto at Scarborough,Anya,,Tafliovich,1807750,18,good,TEACHER,PROFESSOR,3.6
Sociology,4919,University of Toronto at Scarborough,Victoria,,Tahmasebi,1142613,9,good,TEACHER,PROFESSOR,3.9
Linguistics,4919,University of Toronto at Scarborough,Eri,,Takahashi,1836232,25,good,TEACHER,PROFESSOR,3.7
Humanities,4919,University of Toronto at Scarborough,Al-Kasey,,Tamara,1236097,1,good,TEACHER,PROFESSOR,3.5
Geography,4919,University of Toronto at Scarborough,Shaun,,Tanaka,1186263,9,good,TEACHER,PROFESSOR,3.9
Sociology,4919,University of Toronto at Scarborough,Julian,,Tanner,488989,32,average,TEACHER,PROFESSOR,3.2
Fine Arts,4919,University of Toronto at Scarborough,Evan,,Tapper,1651951,3,average,TEACHER,PROFESSOR,3.0
Physics,4919,University of Toronto at Scarborough,Salam,,Tawfiq,469344,42,average,TEACHER,PROFESSOR,2.5
Philosophy,4919,University of Toronto at Scarborough,Evan,,Taylor,2361428,0,zero,TEACHER,PROFESSOR,N/A
Political Science,4919,University of Toronto at Scarborough,Judith,,Teichman,591783,16,average,TEACHER,PROFESSOR,3.5
Anthropology,4919,University of Toronto at Scarborough,Julie,,Teichroeb,2234517,2,good,TEACHER,PROFESSOR,4.5
English,4919,University of Toronto at Scarborough,Neil,,Ten Kortenaar,563423,7,good,TEACHER,PROFESSOR,4.2
Psychology,4919,University of Toronto at Scarborough,Rimma,,Teper,2129461,8,good,TEACHER,PROFESSOR,3.8
Biological Sciences,4919,University of Toronto at Scarborough,Mauricio,R,Terebiznik,1831709,4,good,TEACHER,PROFESSOR,3.6
Geography,4919,University of Toronto at Scarborough,Danielle,,Tessaro,2289193,13,good,TEACHER,PROFESSOR,4.5
Chemistry,4919,University of Toronto at Scarborough,Nirusha,,Thavarajah,465148,79,good,TEACHER,PROFESSOR,3.9
Biological Sciences,4919,University of Toronto at Scarborough,Jeneni,,Thiagavel,2553971,3,good,TEACHER,PROFESSOR,5.0
History,4919,University of Toronto at Scarborough,Fabrizio,,Titone,1412580,1,poor,TEACHER,PROFESSOR,1.0
Computer  Math. Sciences,4919,University of Toronto at Scarborough,Jabed,,Tomal,1929498,15,average,TEACHER,PROFESSOR,2.8
Management,4919,University of Toronto at Scarborough,Jincheng,,Tong,2555791,1,good,TEACHER,PROFESSOR,5.0
Management,4919,University of Toronto at Scarborough,Arif,,Toor,2358487,9,average,TEACHER,PROFESSOR,2.8
Psychology,4919,University of Toronto at Scarborough,Sisi,,Tran,1504710,38,average,TEACHER,PROFESSOR,3.0
Philosophy,4919,University of Toronto at Scarborough,Nick,,Treanor,1077800,2,good,TEACHER,PROFESSOR,4.5
Biological Sciences,4919,University of Toronto at Scarborough,Bebhinn,,Treanor,1749948,16,good,TEACHER,PROFESSOR,3.9
Political Science,4919,University of Toronto at Scarborough,Phil,,Triadafilopoulos,838748,33,good,TEACHER,PROFESSOR,3.7
Anthropology,4919,University of Toronto at Scarborough,Lianne,,Tripp,2156875,2,poor,TEACHER,PROFESSOR,1.5
Management,4919,University of Toronto at Scarborough,Gerhard,,Trippen,1341995,11,good,TEACHER,PROFESSOR,4.7
Psychology,4919,University of Toronto at Scarborough,Shona,,Tritt,2329862,8,good,TEACHER,PROFESSOR,3.5
Management,4919,University of Toronto at Scarborough,John,,Trougakos,1133135,13,good,TEACHER,PROFESSOR,4.7
Languages,4919,University of Toronto at Scarborough,Malama,,Tsimenis,1675941,12,average,TEACHER,PROFESSOR,3.2
Mathematics,4919,University of Toronto at Scarborough,Jenkin,,Tsui,2239829,2,good,TEACHER,PROFESSOR,3.5
Music,4919,University of Toronto at Scarborough,Lynn,,Tucker,1278093,2,good,TEACHER,PROFESSOR,5.0
English,4919,University of Toronto at Scarborough,Daniel,,Tysdal,1366962,20,good,TEACHER,PROFESSOR,4.6
English,4919,University of Toronto at Scarborough,Tom,,Ue,2217066,3,good,TEACHER,PROFESSOR,4.3
Psychology,4919,University of Toronto at Scarborough,Amanda,,Uliaszek,1631040,17,good,TEACHER,PROFESSOR,3.8
Sociology,4919,University of Toronto at Scarborough,Shelly,,Ungar,255586,25,good,TEACHER,PROFESSOR,3.6
Sociology,4919,University of Toronto at Scarborough,Sheldon,,Ungar,257356,83,good,TEACHER,PROFESSOR,3.5
Physics,4919,University of Toronto at Scarborough,Diana,,Valencia,2221317,3,good,TEACHER,PROFESSOR,4.0
Computer & Math. Sciences,4919,University of Toronto at Scarborough,B,,Valko,698144,14,average,TEACHER,PROFESSOR,3.2
Biological Sciences,4919,University of Toronto at Scarborough,Greg,,Vanlerberghe,345960,35,average,TEACHER,PROFESSOR,3.4
Management,4919,University of Toronto at Scarborough,Sujay,,Vardhmane,1601155,2,good,TEACHER,PROFESSOR,4.0
Humanities,4919,University of Toronto at Scarborough,Theofanis,,Verinakis,1393608,6,good,TEACHER,PROFESSOR,3.8
Chemistry,4919,University of Toronto at Scarborough,Ann,,Verner,335192,41,average,TEACHER,PROFESSOR,3.2
English,4919,University of Toronto at Scarborough,Karina,,Vernon,2255702,1,good,TEACHER,PROFESSOR,5.0
Sociology,4919,University of Toronto at Scarborough,Francisco,,Villegas,1892063,18,good,TEACHER,PROFESSOR,4.9
Computer & Math. Sciences,4919,University of Toronto at Scarborough,Balint,,Virag,947956,2,poor,TEACHER,PROFESSOR,1.0
Humanities,4919,University of Toronto at Scarborough,Curie,,Virag,1684281,3,poor,TEACHER,PROFESSOR,2.3
English,4919,University of Toronto at Scarborough,Vikki,,Visvis,488632,10,good,TEACHER,PROFESSOR,4.8
Chemistry,4919,University of Toronto at Scarborough,Oleksandr,,Voznyy,2437953,3,good,TEACHER,PROFESSOR,3.7
Computer & Math. Sciences,4919,University of Toronto at Scarborough,Kersti,,Wain-Bantin,295017,16,poor,TEACHER,PROFESSOR,2.1
Sociology,4919,University of Toronto at Scarborough,Ingrid,,Waldron,894968,0,zero,TEACHER,PROFESSOR,N/A
Anthropology,4919,University of Toronto at Scarborough,Amber,,Walker-Bolton,2310689,2,poor,TEACHER,PROFESSOR,2.0
Sociology,4919,University of Toronto at Scarborough,Denis,,Wall,687858,20,good,TEACHER,PROFESSOR,3.5
Classics,4919,University of Toronto at Scarborough,Chris,,Wallace,1576114,5,good,TEACHER,PROFESSOR,3.8
Geology,4919,University of Toronto at Scarborough,Kathy,,Wallace,1816309,1,good,TEACHER,PROFESSOR,5.0
Health Science,4919,University of Toronto at Scarborough,Anna,,Walsh,1048825,22,good,TEACHER,PROFESSOR,4.1
Law,4919,University of Toronto at Scarborough,Jason,,Wang,1152044,2,good,TEACHER,PROFESSOR,4.8
Chemistry,4919,University of Toronto at Scarborough,Frank,,Wania,345598,28,average,TEACHER,PROFESSOR,3.3
History,4919,University of Toronto at Scarborough,Ronda,,Ward,271015,6,good,TEACHER,PROFESSOR,3.8
Health Science,4919,University of Toronto at Scarborough,Marina,,Wasilewski,2361787,2,good,TEACHER,PROFESSOR,3.5
Political Science,4919,University of Toronto at Scarborough,Lucan,,Way,927790,17,good,TEACHER,PROFESSOR,3.7
Management,4919,University of Toronto at Scarborough,Craig,,Weaver,1339336,6,good,TEACHER,PROFESSOR,4.0
Physics,4919,University of Toronto at Scarborough,Dan,,Weaver,2474607,10,average,TEACHER,PROFESSOR,2.9
International Studies,4919,University of Toronto at Scarborough,Christopher,,Webb,2293421,6,good,TEACHER,PROFESSOR,5.0
Humanities,4919,University of Toronto at Scarborough,Erin,,Webster,784258,12,good,TEACHER,PROFESSOR,4.2
Finance,4919,University of Toronto at Scarborough,Jason,,Wei,695663,12,good,TEACHER,PROFESSOR,4.0
Biological Sciences,4919,University of Toronto at Scarborough,Jason,,Weir,1852338,5,good,TEACHER,PROFESSOR,4.7
Biological Sciences,4919,University of Toronto at Scarborough,Kenneth,,Welch,1557997,9,poor,TEACHER,PROFESSOR,2.4
English,4919,University of Toronto at Scarborough,Michael,,Wells,1175489,6,good,TEACHER,PROFESSOR,4.9
English,4919,University of Toronto at Scarborough,Andrew,,Westoll,1874640,7,good,TEACHER,PROFESSOR,4.9
English,4919,University of Toronto at Scarborough,Laura Jane,,Wey,1500609,11,good,TEACHER,PROFESSOR,3.8
Music,4919,University of Toronto at Scarborough,Lenard,,Whiting,257375,23,average,TEACHER,PROFESSOR,3.4
