tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Mathematics,4919,University of Toronto at Scarborough,Mohammad,Kaviul,Khan,2566215,0,zero,TEACHER,PROFESSOR,N/A
Finance,4919,University of Toronto at Scarborough,Mary,,Khapko,2123641,4,good,TEACHER,PROFESSOR,4.5
Computer Science,4919,University of Toronto at Scarborough,Faiza,,Khattak,2526042,2,poor,TEACHER,PROFESSOR,1.0
English,4919,University of Toronto at Scarborough,Elaine,,Khoo,2538325,1,good,TEACHER,PROFESSOR,4.0
Management,4919,University of Toronto at Scarborough,Kyeongheui,,Kim,555016,11,poor,TEACHER,PROFESSOR,1.7
Music,4919,University of Toronto at Scarborough,Rosanne,,King,2021889,13,good,TEACHER,PROFESSOR,4.5
Music,4919,University of Toronto at Scarborough,Brett,,Kingsbury,2018052,5,good,TEACHER,PROFESSOR,4.4
International Studies,4919,University of Toronto at Scarborough,Paul,,Kingston,426033,36,average,TEACHER,PROFESSOR,2.5
Geography,4919,University of Toronto at Scarborough,Priya,,Kissoon,1628690,9,poor,TEACHER,PROFESSOR,1.9
Writing,4919,University of Toronto at Scarborough,Sarah,,Kleeb,2247295,2,poor,TEACHER,PROFESSOR,2.0
Social Science,4919,University of Toronto at Scarborough,Ivanka,,Knezevic,689123,15,average,TEACHER,PROFESSOR,2.8
Political Science,4919,University of Toronto at Scarborough,Margaret,,Kohn,1477804,13,good,TEACHER,PROFESSOR,3.5
Accounting,4919,University of Toronto at Scarborough,Douglas,,Kong,695662,13,good,TEACHER,PROFESSOR,4.6
Theater,4919,University of Toronto at Scarborough,Sasha ,,Kovacs,2076733,1,good,TEACHER,PROFESSOR,5.0
Geography,4919,University of Toronto at Scarborough,Jason,,Kovacs,2215434,2,average,TEACHER,PROFESSOR,3.0
Chemistry,4919,University of Toronto at Scarborough,Heinz-Bernhard,,Kraatz,1628536,17,good,TEACHER,PROFESSOR,3.8
Economics,4919,University of Toronto at Scarborough,Harry,,Krashinsky,268767,34,good,TEACHER,PROFESSOR,4.5
Economics,4919,University of Toronto at Scarborough,Michael,,Krashinsky,407303,56,good,TEACHER,PROFESSOR,4.4
Philosophy,4919,University of Toronto at Scarborough,Philip,,Kremer,558618,4,good,TEACHER,PROFESSOR,3.9
Biological Sciences,4919,University of Toronto at Scarborough,Herbert,,Kronzucker,263722,90,good,TEACHER,PROFESSOR,4.1
Anthropology,4919,University of Toronto at Scarborough,Chris,,Krupa,1592359,8,good,TEACHER,PROFESSOR,4.2
Classics,4919,University of Toronto at Scarborough,Suha,,Kudsieh,466680,10,average,TEACHER,PROFESSOR,3.1
Psychology,4919,University of Toronto at Scarborough,Andre,,Kukla,339977,0,zero,TEACHER,PROFESSOR,N/A
Management,4919,University of Toronto at Scarborough,Karen,,Kurdyak,1245020,1,poor,TEACHER,PROFESSOR,2.0
Geography,4919,University of Toronto at Scarborough,Min-Jung,,Kwak,1606432,4,average,TEACHER,PROFESSOR,3.2
Humanities,4919,University of Toronto at Scarborough,Will,,Kwan,1618326,4,good,TEACHER,PROFESSOR,4.7
Women's Studies,4919,University of Toronto at Scarborough,Dani,,Lafond,1549906,1,poor,TEACHER,PROFESSOR,1.0
Computer Science,4919,University of Toronto at Scarborough,Albert,,Lai,2349963,13,poor,TEACHER,PROFESSOR,1.2
English,4919,University of Toronto at Scarborough,Mark,,Laliberte,2384783,1,poor,TEACHER,PROFESSOR,2.0
Humanities,4919,University of Toronto at Scarborough,Susan,,Lamb,273044,19,poor,TEACHER,PROFESSOR,1.4
Management,4919,University of Toronto at Scarborough,D.,,Lamb,1188238,0,zero,TEACHER,PROFESSOR,N/A
Theater,4919,University of Toronto at Scarborough,Trisha,,Lamie,340355,11,good,TEACHER,PROFESSOR,4.6
Health Science,4919,University of Toronto at Scarborough,Beth,,Landau,1986050,0,zero,TEACHER,PROFESSOR,N/A
Sociology,4919,University of Toronto at Scarborough,P.,,Landolt,842417,6,good,TEACHER,PROFESSOR,3.9
Languages,4919,University of Toronto at Scarborough,Andrew,,Lane,1329544,1,good,TEACHER,PROFESSOR,4.5
English,4919,University of Toronto at Scarborough,Katherine,,Larson,1160447,5,good,TEACHER,PROFESSOR,4.3
Management,4919,University of Toronto at Scarborough,H,,Laurence,858539,19,average,TEACHER,PROFESSOR,3.2
Theater,4919,University of Toronto at Scarborough,Allison ,,Leadley ,2076737,2,average,TEACHER,PROFESSOR,3.3
Science,4919,University of Toronto at Scarborough,Janelle,,Leboutillier,1303905,21,good,TEACHER,PROFESSOR,4.1
Physics,4919,University of Toronto at Scarborough,Martin,,Lee,738158,6,poor,TEACHER,PROFESSOR,2.4
Political Science,4919,University of Toronto at Scarborough,Daniel,,Lee,1742094,5,good,TEACHER,PROFESSOR,5.0
Music,4919,University of Toronto at Scarborough,Sherry,,Lee,1786169,1,average,TEACHER,PROFESSOR,3.0
Psychology,4919,University of Toronto at Scarborough,Andy,,Lee,1807406,10,good,TEACHER,PROFESSOR,4.3
English,4919,University of Toronto at Scarborough,Garry,,Leonard,256698,190,good,TEACHER,PROFESSOR,4.3
Music,4919,University of Toronto at Scarborough,Tony,,Leong,2501391,1,good,TEACHER,PROFESSOR,5.0
English,4919,University of Toronto at Scarborough,Andrew,,Lesk,2024757,0,zero,TEACHER,PROFESSOR,N/A
Health Science,4919,University of Toronto at Scarborough,Michelle,,Letchumanan,2267948,8,poor,TEACHER,PROFESSOR,1.6
Political Science,4919,University of Toronto at Scarborough,Renan,,Levine,1997555,12,average,TEACHER,PROFESSOR,3.0
Sociology,4919,University of Toronto at Scarborough,Kathy,,Liddle,711027,22,good,TEACHER,PROFESSOR,4.2
Theater,4919,University of Toronto at Scarborough,Shelley,,Liebembuk,1921950,2,good,TEACHER,PROFESSOR,4.2
Management,4919,University of Toronto at Scarborough,Raquel,,Lindsay,1810828,1,poor,TEACHER,PROFESSOR,1.0
Business,4919,University of Toronto at Scarborough,John,,Linney,2414849,0,zero,TEACHER,PROFESSOR,N/A
Management,4919,University of Toronto at Scarborough,Xuefeng,,Liu,1953107,1,poor,TEACHER,PROFESSOR,1.0
Psychology,4919,University of Toronto at Scarborough,Steve,,Livingston,1063125,24,average,TEACHER,PROFESSOR,3.2
English,4919,University of Toronto at Scarborough,Jessica,,Lockhart,2356906,1,good,TEACHER,PROFESSOR,5.0
Anthropology,4919,University of Toronto at Scarborough,Sergi,,Lopez-Torres,2223012,6,good,TEACHER,PROFESSOR,5.0
Physics,4919,University of Toronto at Scarborough,Gyula,,Lorincz,1807688,8,average,TEACHER,PROFESSOR,2.8
Science,4919,University of Toronto at Scarborough,Julian,,Lowman,810770,5,good,TEACHER,PROFESSOR,3.8
International Studies,4919,University of Toronto at Scarborough,Caizhen,,LU,1802630,2,poor,TEACHER,PROFESSOR,2.0
Management,4919,University of Toronto at Scarborough,Michelle,,Lum,1617838,0,zero,TEACHER,PROFESSOR,N/A
Languages,4919,University of Toronto at Scarborough,Jingsong,,Ma,2040757,6,poor,TEACHER,PROFESSOR,1.8
Geography,4919,University of Toronto at Scarborough,Kenneth,,MacDonald,401173,14,poor,TEACHER,PROFESSOR,2.2
Management,4919,University of Toronto at Scarborough,Hugh,,MacDonald,1767678,2,average,TEACHER,PROFESSOR,3.2
Biological Sciences,4919,University of Toronto at Scarborough,Scott,,MacIvor,2546755,3,average,TEACHER,PROFESSOR,3.0
Philosophy,4919,University of Toronto at Scarborough,Doug,,MacKay,944564,5,good,TEACHER,PROFESSOR,5.0
Sociology,4919,University of Toronto at Scarborough,Malcolm,,MacKinnon,256673,95,average,TEACHER,PROFESSOR,3.4
Environmental Science,4919,University of Toronto at Scarborough,Jim,,MacLellan,1964286,9,average,TEACHER,PROFESSOR,2.6
Science,4919,University of Toronto at Scarborough,James,,MacLellan,2405722,1,poor,TEACHER,PROFESSOR,2.0
Biological Sciences,4919,University of Toronto at Scarborough,Emily,,MacLeod,1892750,2,good,TEACHER,PROFESSOR,4.2
Biological Sciences,4919,University of Toronto at Scarborough,James,Scott,Maclvor,2504969,1,good,TEACHER,PROFESSOR,4.0
English,4919,University of Toronto at Scarborough,Ian,,MacRae,913865,5,good,TEACHER,PROFESSOR,4.7
Sociology,4919,University of Toronto at Scarborough,Neda,,Magbouleh,1844223,3,good,TEACHER,PROFESSOR,4.3
Sociology,4919,University of Toronto at Scarborough,Neda,,Maghbouleh,1838911,7,good,TEACHER,PROFESSOR,3.5
Management,4919,University of Toronto at Scarborough,Sam,J,Maglio,1916039,9,good,TEACHER,PROFESSOR,5.0
Computer Science,4919,University of Toronto at Scarborough,Kaveh,,Mahdaviani,2501751,0,zero,TEACHER,PROFESSOR,N/A
Journalism,4919,University of Toronto at Scarborough,M,,Mahtani,647625,10,good,TEACHER,PROFESSOR,4.4
Geography,4919,University of Toronto at Scarborough,Michelle,,Majeed,1685136,12,good,TEACHER,PROFESSOR,3.5
Psychology,4919,University of Toronto at Scarborough,Diane,,Mangalindan,1815307,7,good,TEACHER,PROFESSOR,3.6
Mathematics,4919,University of Toronto at Scarborough,Liviu,,Mare,339664,0,zero,TEACHER,PROFESSOR,N/A
Fine Arts,4919,University of Toronto at Scarborough,Tanya,,Mars,468587,8,average,TEACHER,PROFESSOR,3.2
Mathematics,4919,University of Toronto at Scarborough,J,,Martens,698146,14,average,TEACHER,PROFESSOR,3.3
Environmental Science,4919,University of Toronto at Scarborough,Adam,,Martin,2045276,19,good,TEACHER,PROFESSOR,4.9
Management,4919,University of Toronto at Scarborough,Charles,,Martineau,2327838,3,good,TEACHER,PROFESSOR,4.7
Languages,4919,University of Toronto at Scarborough,Marina,,Marukhnyak,2087214,4,good,TEACHER,PROFESSOR,4.7
Biological Sciences,4919,University of Toronto at Scarborough,Andrew,,Mason,255589,69,average,TEACHER,PROFESSOR,3.1
Management,4919,University of Toronto at Scarborough,Anjomshoa,,Masoud,1207265,3,poor,TEACHER,PROFESSOR,2.0
English,4919,University of Toronto at Scarborough,A,,Maurice,638994,6,average,TEACHER,PROFESSOR,3.1
Economics,4919,University of Toronto at Scarborough,A.,,Mazaheri,1337349,16,good,TEACHER,PROFESSOR,3.7
Economics,4919,University of Toronto at Scarborough,Ataollah,,Mazaheri,2122800,5,average,TEACHER,PROFESSOR,3.4
Political Science,4919,University of Toronto at Scarborough,James,,McAllister,1735356,1,good,TEACHER,PROFESSOR,4.0
Management,4919,University of Toronto at Scarborough,Julie,,McCarthy,449327,25,good,TEACHER,PROFESSOR,4.0
Art History,4919,University of Toronto at Scarborough,Roger,,McCleary,445849,6,good,TEACHER,PROFESSOR,4.3
Management,4919,University of Toronto at Scarborough,Bill,,McConkey,257474,29,good,TEACHER,PROFESSOR,3.8
Languages,4919,University of Toronto at Scarborough,Karen,,McCrindle,335191,14,good,TEACHER,PROFESSOR,4.9
Accounting,4919,University of Toronto at Scarborough,Julie,,McDonald,1828106,5,poor,TEACHER,PROFESSOR,1.1
Science,4919,University of Toronto at Scarborough,Tom,,McElwain,1613975,0,zero,TEACHER,PROFESSOR,N/A
English,4919,University of Toronto at Scarborough,Brandon,,McFarlane,1701586,5,average,TEACHER,PROFESSOR,2.9
History,4919,University of Toronto at Scarborough,Karen,,McFarlene,1338091,2,good,TEACHER,PROFESSOR,3.5
Biological Sciences,4919,University of Toronto at Scarborough,Patrick,,McGowan,1809545,21,average,TEACHER,PROFESSOR,3.4
Physics,4919,University of Toronto at Scarborough,Patrick,,McGraw,2457774,1,poor,TEACHER,PROFESSOR,2.0
Philosophy,4919,University of Toronto at Scarborough,Lisa,,McKeown,2246190,4,good,TEACHER,PROFESSOR,3.5
