tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Philosophy,1484,University of Toronto - St. George Campus,Francesco,,Gagliardi,2381330,2,good,TEACHER,PROFESSOR,4.5
Economics,1484,University of Toronto - St. George Campus,Gregory,,Gagnon,241356,44,poor,TEACHER,PROFESSOR,2.3
Physical Education,1484,University of Toronto - St. George Campus,Sarah,,Gairdner,2051030,5,good,TEACHER,PROFESSOR,4.6
Finance,1484,University of Toronto - St. George Campus,Babu,,Gajaria,2171611,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,1484,University of Toronto - St. George Campus,Binywmini,,Gal,2042904,0,zero,TEACHER,PROFESSOR,N/A
English,1484,University of Toronto - St. George Campus,David,,Galbraith,40201,23,good,TEACHER,PROFESSOR,4.2
Anthropology,1484,University of Toronto - St. George Campus,Julia,,Gamble,2177671,5,good,TEACHER,PROFESSOR,4.0
Philosophy,1484,University of Toronto - St. George Campus,Mihai,,Ganea,1802588,3,good,TEACHER,PROFESSOR,4.5
Education,1484,University of Toronto - St. George Campus,Patricia,,Ganea,1835656,0,zero,TEACHER,PROFESSOR,N/A
English,1484,University of Toronto - St. George Campus,Joshua,,Gang,1827164,6,good,TEACHER,PROFESSOR,4.5
Computer Science,1484,University of Toronto - St. George Campus,Yashar,,Ganjali,1035219,5,good,TEACHER,PROFESSOR,4.9
Statistics,1484,University of Toronto - St. George Campus,Boris,,Garbuzov,2396649,2,poor,TEACHER,PROFESSOR,1.0
Business,1484,University of Toronto - St. George Campus,Alexander,,Garcia,1538464,2,good,TEACHER,PROFESSOR,5.0
Mathematics,1484,University of Toronto - St. George Campus,Luis,Emilio,Garcia Martinez,2064032,5,good,TEACHER,PROFESSOR,4.7
Not Specified,1484,University of Toronto - St. George Campus,Sandra,,Gardner,1822581,1,poor,TEACHER,PROFESSOR,1.0
Chemical Engineering,1484,University of Toronto - St. George Campus,Srinath,,Garg,1796139,0,zero,TEACHER,PROFESSOR,N/A
