attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,good,good,2,27244682,0,,good,4,INF1330,"A little too fast for the amount of content. If she wants you to write something down she'll pause and say, ""Okay?"" Sometimes she'll repeat it but she's so wordy you'll probably still miss it. She wrote the textbook and uses it heavily so she gets her money. Very reputable in her field but acts like the content is more amusing than it actually is.",11/22/2016,4.0,4.0,,4,N/A,4.0,4.0,1,Yes,1479846216000,Yes,1484,Yes,,N/A,"['Participation matters', 'Respected', 'Lecture heavy']",people,people
Not Mandatory,average,good,average,1,26274601,0,,average,3,INF1330,Really likes essay exams- expect to write a heavily-weighted midterm. Brilliant scholar and engaging lecturer.,04/11/2016,4.0,4.0,,3,N/A,3.0,3.0,1,Yes,1460411605000,Yes,1484,N/A,,A-,"['Group projects', 'Tough grader']",people,person
Mandatory,good,good,good,2,26157950,0,,good,5,INF1330,"Don't let the lower scores I assigned fool you- Heather is a top notch instructor. The first class with her was terrifying because she speaks very quickly and doesn't ease you into what is, for almost everyone, a new subject. Her expertise in the field shines through, as does her passion for archiving. I will look to take more classes with her.",03/18/2016,4.0,4.0,,3,It's my life,4.0,4.0,1,Yes,1458315124000,N/A,1484,Yes,,A-,"['Tough grader', 'Get ready to read', 'Respected']",people,people
