attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,average,0,17081085,0,,good,4,POL444Y,"I do not know how Professor Brudner teaches law, but he did a great job teaching Hegel (a class open to law students). Brudner provided an accessible explication of Hegel's political philosophy. While he holds certain  convictions, it would be erroneous to conclude that he rejects criticisms. In fact, He constantly stops to ask for any criticisms.",04/28/2010,3.0,3.0,,3,Really into it,3.5,3.5,1,Yes,1272496440000,N/A,12184,N/A,,N/A,[],people,people
N/A,average,average,poor,0,15919659,1,,poor,2,LAWCRIM,"Small group crim - This professor was the worst I had in law school. He spent a lot of time arguing with students about useless points of philosophy and little time talking about substantive and procedural criminal law or preparing us for the exam. No real-world experience, arrogant, silver spoon background.",06/01/2009,3.0,3.0,,1,Really into it,1.5,1.5,1,No,1243858073000,N/A,12184,N/A,,N/A,[],person,people
N/A,good,average,good,0,14749872,0,,awesome,4,LAWY1,Professor Brudner was the most profound and engaging professor I've had. Any law student would be priveleged to be taught by him. READ HIS BOOK!,08/17/2008,3.0,3.0,,5,It's my life,4.5,4.5,1,Yes,1219009311000,N/A,12184,N/A,,N/A,[],people,people
N/A,average,average,average,0,13508089,0,,poor,2,CRIMLAW,"Worst Professor I've ever had. Complete ideologue. Not open to debate or ideas that contradict his own, even if they are well reasoned. He will not engage ideas that are contrary to his own; he will dismiss them out of hand. This man should not be teaching.",10/04/2007,3.0,3.0,,2,Sorta interested,2.0,2.0,1,No,1191533636000,N/A,12184,N/A,,N/A,[],people,people
