attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,average,good,0,22806391,0,,awesome,5,TST1501,Excellent teacher with passion for subject and humorous lectures.,01/30/2014,2.0,2.0,,5,It's my life,5.0,5.0,1,Yes,1391087504000,N/A,1484,N/A,,A,[],people,people
N/A,poor,good,poor,0,13590551,0,,awful,1,NEWT101,I hated this class.  The prof was very condescending.  Her lectures were dry and the tests and assignments were unfair.  She did not listen to students ideas or opinions.  The classes went overtime on a regular basis.,11/02/2007,5.0,5.0,,1,Meh,1.0,1.0,1,No,1194019807000,N/A,1484,N/A,,N/A,[],people,people
N/A,good,good,good,0,12302326,0,,awesome,5,TST1501,No Comments,10/21/2006,4.0,4.0,,5,It's my life,5.0,5.0,1,Yes,1161389224000,N/A,1484,N/A,,N/A,[],people,people
