attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,average,good,0,25079762,0,,awesome,5,FSL305Y,"Sima is my favourite professor at UTM! She was very well liked by the rest of my class as well. If you take her class seriously and try your best to participate, she will help you out as much as you need. ",07/30/2015,3.0,3.0,,5,Really into it,5.0,5.0,1,Yes,1438273933000,Yes,1484,Yes,,N/A,"['Respected', 'Caring']",people,people
Mandatory,good,good,good,0,25013600,0,,good,4,FSL305Y,Sima Farsandaj puts a great effort into helping her students progress.  She provides a lot of french practice throughout the course. She has a lot to mark and sometimes no mark is received for assignments. However she does put a lot of effort into creating interesting assignments and overall is a decent prof,07/02/2015,4.0,4.0,,4,It's my life,4.0,4.0,1,Yes,1435867191000,N/A,1484,Yes,,B,[],people,people
N/A,good,poor,good,0,22399727,0,,awesome,5,FSL105,She is very helpful and friendly. Her class is very interesting and engaging.,11/27/2013,1.0,1.0,,5,It's my life,5.0,5.0,1,Yes,1385594319000,N/A,1484,N/A,,N/A,[],people,people
N/A,good,good,good,0,21600658,0,,awesome,5,FSL205,"Professor Sima is a phenominal professor who helped me with my growth in my french speaking , and application skills . She makes the course intriguing and worth taking . She is an excellent professor and yet a perfect human being . She cares about her students     on an individual level as opposed to other professors. From, UTM student Anum",04/24/2013,4.0,4.0,,5,It's my life,5.0,5.0,1,Yes,1366847896000,N/A,1484,N/A,,N/A,[],people,people
N/A,average,good,average,0,17488341,0,,good,3,FSL280,"She is very specific when it comes to grammar, her class was very helpful for me. She's an extremely fair marker. She's not the easiest prof to get ahold of-- I don't think she even knows how to use e-mail.",08/06/2010,4.0,4.0,,4,Really into it,3.5,3.5,1,Yes,1281134596000,N/A,1484,N/A,,N/A,[],people,people
N/A,poor,good,poor,0,16491750,1,,awful,1,FSL280,"worst professor ive ever had, doesnt mark anything on time, class is run like a high school class, makes fun of accents, very critical and intimidating, hates computers and computer technicians",12/08/2009,5.0,5.0,,1,Meh,1.0,1.0,1,Yes,1260231647000,N/A,1484,N/A,,N/A,[],person,people
N/A,poor,average,poor,0,16247591,1,,poor,1,FSL280,"Never learned my name, calls me only &quot;mademoiselle&quot; or &quot;the friend of&quot; the girl I sit next to. Incomprehensible. Intimidating. If someone doesn't have perfect pronunciation she will single them out and humiliate them. Entire class is discouraged from speaking up or asking questions.",10/17/2009,3.0,3.0,,2,Really into it,1.5,1.5,1,Yes,1255786716000,N/A,1484,N/A,,N/A,[],person,people
N/A,average,good,average,0,13192863,0,,average,3,FSL281,"I took this course back in the summer of 2003 and Sima was my professor.  She's a fair marker, she's friendly, caring, engages her students in class and offers extra for students with difficulties in French.  Excellent professor.  I recommend her.",05/21/2007,4.0,4.0,,2,Sorta interested,2.5,2.5,1,Yes,1179705827000,N/A,1484,N/A,,N/A,[],people,people
N/A,good,average,good,0,12549351,0,,awesome,5,FSL281,"I found professor Farsandaj both helpful, and friendly. I could say she honestly helped me a lot with every one of my struggles. She is one of the nicest profs I've had, and made each class quite enjoyable.",12/08/2006,3.0,3.0,,5,It's my life,5.0,5.0,1,Yes,1165551680000,N/A,1484,N/A,,N/A,[],people,people
N/A,good,average,good,0,11493151,0,,awesome,5,FSL181281,"Really helpful prof. She aslo made the effort to find out everyone's names & have them down pat by the end of the 1st week of class, which was impressive! She got to know her students & helped us all indivisually according to our different ways of learning. A really, really respectable prof. Félicitations, Sima!",02/17/2006,3.0,3.0,,5,Sorta interested,5.0,5.0,1,N/A,1140172736000,N/A,1484,N/A,,N/A,[],people,people
N/A,average,average,average,0,11446065,0,,average,2,FSL281,No Comments,02/02/2006,3.0,3.0,,3,It's my life,2.5,2.5,1,N/A,1138850086000,N/A,1484,N/A,,N/A,[],people,people
N/A,good,average,good,0,10080403,0,,awesome,5,FSL280,"This professor helped me a lot in this class; she also pushed me as well as many of my classmates to be very successful students. I would say she is definitely an outstanding woman, as well as an amazing teacher. Sima also has the most beautiful smile I&#8217;ve ever seen :)",08/01/2005,3.0,3.0,,5,Sorta interested,5.0,5.0,1,N/A,1122914538000,N/A,1484,N/A,,N/A,[],people,people
