attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,average,good,2,31483125,1,,awesome,5,ECO365,Best Prof ive had at UofT hands down.,03/26/2019,2.0,2.0,,5,N/A,5.0,5.0,1,No,1553634211000,Yes,1484,Yes,,A+,"['Hilarious', 'Amazing lectures', 'Inspirational']",person,people
Mandatory,good,good,good,3,29738683,0,,awesome,5,ECO365,The best professor i've ever had at UofT. Absolutely hilarious and passionate in every sense in what he teaches. Professor Mondria is amazing and I recommend him to anyone.,04/04/2018,4.0,4.0,,5,N/A,5.0,5.0,1,Yes,1522803283000,Yes,1484,Yes,,N/A,"['Respected', 'Lecture heavy', 'Accessible outside class']",people,people
Mandatory,good,good,good,2,28935581,0,,awesome,5,ECO365,good,11/19/2017,4.0,4.0,,5,N/A,5.0,5.0,1,No,1511121736000,Yes,1484,Yes,,N/A,"['Caring', 'Respected', 'Hilarious']",people,people
Mandatory,good,average,good,1,27238711,0,,awesome,5,ECO465,The professor is good. Explains clearly and encourages to ask questions. Makes a course useful and more understandable. Lecture is all you need but he also posts notes. Math is not heavy. One short essay which is very interesting to write. Love this course and prof.,11/21/2016,3.0,3.0,,5,N/A,5.0,5.0,1,No,1479770457000,Yes,1484,Yes,,Not sure yet,['Caring'],people,person
Not Mandatory,good,poor,good,1,25555701,0,,awesome,5,ECO465,Awesome prof!,12/05/2015,1.0,1.0,,5,Really into it,5.0,5.0,1,No,1449312568000,N/A,1484,Yes,,N/A,['Inspirational'],people,person
N/A,good,good,good,0,25026853,0,,awesome,5,ECO465,"Fantasic Prof, but course is hard.",07/08/2015,4.0,4.0,,4,Really into it,4.5,4.5,1,Yes,1436393294000,N/A,1484,Yes,,B+,[],people,people
Not Mandatory,good,average,good,5,24739811,0,,good,4,ECO365,"Pretty good course, not much textbook reading required. He posts news articles that you are expected to read then asks q's on them on tests and the exam. Overall not a hard course and easy enough to get a good grade in if the work is put in and lectures are attended. Jordi is also a good prof who is helpful and a fair marker.",05/05/2015,3.0,3.0,,4,Sorta interested,4.0,4.0,1,No,1430786031000,N/A,1484,Yes,,B,"['Clear grading criteria', 'Hilarious']",people,people
N/A,good,good,good,3,17561448,0,,awesome,4,ECO365,"a pretty effective prof. make sure you go to his lectures. very organized, post lecture slides, past tests and exams and practice questions online. test and exam questions can be tricky.",08/30/2010,4.0,4.0,,5,Really into it,4.5,4.5,1,Yes,1283185894000,N/A,1484,N/A,,N/A,[],people,people
