attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,poor,good,poor,1,29831986,1,,awful,1,JGE331,"focused more on critical reading skills than material: spent time reading long quotes from required readings rather than explaining concepts. Weekly reading reflections were worth so little but take at least 4 hours to do. The exam was open book 3 hr, but not enough time for 10 SA, 10 LA &amp; 1 essay. I would not recommend this course. tough grader 2",04/18/2018,5.0,5.0,,1,N/A,1.0,1.0,3,No,1524058353000,No,1484,Yes,,B-,"['Lots of homework', 'Get ready to read', 'Tough grader']",person,person
Mandatory,average,good,average,0,23278957,1,,average,3,JGE331,"Prudham focused more on critical reading skills than the material of the course. The concepts were interesting however he focused more on painstakingly dissecting required readings rather than the concepts.The exam was open book however it was super long with 2 short essays, 10 short answer and 1 long essay. I would not recommend this course.",05/19/2014,4.0,4.0,,3,Really into it,3.0,3.0,1,Yes,1400512214000,N/A,1484,N/A,,B,[],person,people
N/A,average,average,average,0,19306537,0,,good,3,GGR381,"Scott is one of the greatest prof's at U of T. He has a great sense of humor and is not afraid to joke with you. Be warned, he is joking, you can laugh. He is also incredibly intelligent so he can be pretty intimidating. This is the 2nd class I've had with him and have really enjoyed both",11/23/2011,3.0,3.0,,4,Sorta interested,3.5,3.5,1,Yes,1322080749000,N/A,1484,N/A,,N/A,[],people,people
N/A,good,good,good,0,15381358,0,,awesome,4,INX199,"Scott is amazing. One of the best profs at UofT. He's incredibly intelligent, has great sense of humor and is very patient. I found his feedback on assignments extremely helpful. He treats everyone the same and has very high standards. And if that's not enough-he's unacceptably hot! I only wish that he'd smile more-he has an incredible smile.",01/16/2009,4.0,4.0,,5,Really into it,4.5,4.5,1,No,1232069266000,N/A,1484,N/A,,N/A,[],people,people
N/A,good,average,good,0,13747769,0,,awesome,5,GGR331,"Very active in class, always preferring a running conversation as opposed to the lecture format.",12/04/2007,3.0,3.0,,5,It's my life,5.0,5.0,1,Yes,1196793967000,N/A,1484,N/A,,N/A,[],people,people
N/A,good,average,good,0,11760222,0,,good,4,GGR331,"He certainly knows what he's talking about,though at times it felt like he expected us to know a lot about the subject matter. Essays are manageable.He is very personable, and wants you to think critically. One of the best overall profs at u of t. ..good lookin' guy too.",04/25/2006,3.0,3.0,,4,Really into it,4.0,4.0,1,N/A,1145969028000,N/A,1484,N/A,,N/A,[],people,people
N/A,good,average,good,0,10849059,0,,good,5,GGR233,"Very smart and interesting teacher, but he seems to think economics is evil and likes to scare students about essays from time to time.",11/08/2005,3.0,3.0,,3,Sorta interested,4.0,4.0,1,N/A,1131431580000,N/A,1484,N/A,,A,[],people,people
N/A,good,average,good,0,3853568,0,,good,4,GGR331,"Scott challenges his students to think critically about geography. He lectures engagingly, but also runs a good discussion, even in a class of fifty. The readings were a little light for a third year course, though of high quality. He can be a little gruff, but is in fact quite eager to help.",05/13/2005,3.0,3.0,,4,Really into it,4.0,4.0,1,N/A,1115992689000,N/A,1484,N/A,,N/A,[],people,people
N/A,good,good,good,0,3794297,0,,awesome,5,GGR331233,he knows his****.,05/05/2005,4.0,4.0,,5,It's my life,5.0,5.0,1,N/A,1115308380000,N/A,1484,N/A,,N/A,[],people,people
N/A,average,good,average,0,3541600,0,,good,3,GGR233,I found the marking very easy and the material interesting.  Scott was nice and the course required minimal reading or studing.,04/01/2005,5.0,5.0,,4,Really into it,3.5,3.5,1,N/A,1112368900000,N/A,1484,N/A,,N/A,[],people,people
